dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Net Profit (Loss)","Europe","Budget",-57368.3085845,-57416.3652055,-58892.5597260,-57614.7533333,-59009.2455708,-59120.6318721,-57534.0784475,-57712.4684018,-58271.1204566,-57512.3067580,-57721.3697717,-59044.3542466,-697217.5623744
"Operating Expenses","UK","Budget",26808.0000000,26879.0000000,26621.0000000,26557.0000000,27255.0000000,27182.0000000,26883.0000000,26577.0000000,26516.0000000,26292.0000000,26674.0000000,26925.0000000,321169.0000000
"HO Mgmt Recharge (USD)","UK","Budget",2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,28800.0000000
"Depreciation","UK","Budget",0.0000000,0.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,1600.0000000
"Total Operating Expense","UK","Budget",28384.8000000,28455.8000000,28357.8000000,28293.8000000,28991.8000000,28918.8000000,28619.8000000,28313.8000000,28252.8000000,28028.8000000,28410.8000000,28661.8000000,341690.6000000
"Operating Profit (Loss)","UK","Budget",-28384.8000000,-28455.8000000,-28357.8000000,-28293.8000000,-28991.8000000,-28918.8000000,-28619.8000000,-28313.8000000,-28252.8000000,-28028.8000000,-28410.8000000,-28661.8000000,-341690.6000000
"Non Operating Expenses","UK","Budget",595.0000000,937.0000000,882.0000000,804.0000000,747.0000000,547.0000000,942.0000000,931.0000000,803.0000000,973.0000000,927.0000000,863.0000000,9951.0000000
"Net Profit (Loss)","UK","Budget",-28979.8000000,-29392.8000000,-29239.8000000,-29097.8000000,-29738.8000000,-29465.8000000,-29561.8000000,-29244.8000000,-29055.8000000,-29001.8000000,-29337.8000000,-29524.8000000,-351641.6000000
"Operating Expenses","France","Budget",20354.5000000,19980.5000000,21311.5000000,20237.5000000,20715.5000000,21210.5000000,20006.5000000,20616.5000000,20939.5000000,20365.5000000,20239.5000000,20978.5000000,246956.0000000
"HO Mgmt Recharge (USD)","France","Budget",2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,28800.0000000
"Depreciation","France","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,175.0000000,350.0000000
"Total Operating Expense","France","Budget",22217.8600000,21843.8600000,23174.8600000,22100.8600000,22578.8600000,23073.8600000,21869.8600000,22479.8600000,22802.8600000,22228.8600000,22277.8600000,23016.8600000,269666.3200000
"Operating Profit (Loss)","France","Budget",-22217.8600000,-21843.8600000,-23174.8600000,-22100.8600000,-22578.8600000,-23073.8600000,-21869.8600000,-22479.8600000,-22802.8600000,-22228.8600000,-22277.8600000,-23016.8600000,-269666.3200000
"Non Operating Expenses","France","Budget",904.0000000,838.0000000,1164.0000000,1128.0000000,1287.0000000,1226.0000000,730.0000000,673.0000000,1132.0000000,1011.0000000,774.0000000,1137.0000000,12004.0000000
"Net Profit (Loss)","France","Budget",-23121.8600000,-22681.8600000,-24338.8600000,-23228.8600000,-23865.8600000,-24299.8600000,-22599.8600000,-23152.8600000,-23934.8600000,-23239.8600000,-23051.8600000,-24153.8600000,-281670.3200000
"Operating Expenses","World","Actual",261722.7042134,261595.2592276,272411.7820426,267935.4044979,268854.1456602,260477.6282663,270797.1127816,261202.1248099,260359.5761470,251836.5198239,255502.3466833,260566.3217797,3153260.9259334
"Total Operating Expense","World","Actual",261722.7042134,261595.2592276,272411.7820426,267935.4044979,268854.1456602,260477.6282663,270797.1127816,261202.1248099,260359.5761470,251836.5198239,255502.3466833,260566.3217797,3153260.9259334
"Operating Profit (Loss)","World","Actual",-261722.7042134,-261595.2592276,-272411.7820426,-267935.4044979,-268854.1456602,-260477.6282663,-270797.1127816,-261202.1248099,-260359.5761470,-251836.5198239,-255502.3466833,-260566.3217797,-3153260.9259334
"Non Operating Expenses","World","Actual",20692.6125896,22786.0774289,21780.1968266,23585.8987344,22422.3458271,23366.5238684,19576.8466179,22630.6984584,15315.2323360,22677.5831284,17708.8167110,22838.2586089,255381.0911355
"Net Profit (Loss)","World","Actual",-282415.3168030,-284381.3366564,-294191.9788691,-291521.3032322,-291276.4914873,-283844.1521347,-290373.9593995,-283832.8232683,-275674.8084830,-274514.1029523,-273211.1633943,-283404.5803885,-3408642.0170689
"Operating Expenses","North America","Actual",92997.0127780,88642.6441079,94505.5669664,93501.1618552,91194.5338381,88666.0023663,95048.6464742,89514.6857549,89397.8944628,87651.8646474,85917.5139612,87825.1050639,1084862.6322764
"Total Operating Expense","North America","Actual",92997.0127780,88642.6441079,94505.5669664,93501.1618552,91194.5338381,88666.0023663,95048.6464742,89514.6857549,89397.8944628,87651.8646474,85917.5139612,87825.1050639,1084862.6322764
"Operating Profit (Loss)","North America","Actual",-92997.0127780,-88642.6441079,-94505.5669664,-93501.1618552,-91194.5338381,-88666.0023663,-95048.6464742,-89514.6857549,-89397.8944628,-87651.8646474,-85917.5139612,-87825.1050639,-1084862.6322764
"Non Operating Expenses","North America","Actual",5746.1315665,6258.0667298,5131.0307619,6133.4893516,5818.1528632,7443.4983436,5117.4051112,6396.2697586,3922.2408897,5886.2811169,4019.5669664,5716.9337435,67589.0672030
"Net Profit (Loss)","North America","Actual",-98743.1443445,-94900.7108377,-99636.5977283,-99634.6512068,-97012.6867014,-96109.5007099,-100166.0515854,-95910.9555135,-93320.1353526,-93538.1457643,-89937.0809276,-93542.0388074,-1152451.6994794
"Operating Expenses","USA","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Total Operating Expense","USA","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Operating Profit (Loss)","USA","Actual",-47776.0000000,-45539.0000000,-48551.0000000,-48035.0000000,-46850.0000000,-45551.0000000,-48830.0000000,-45987.0000000,-45927.0000000,-45030.0000000,-44139.0000000,-45119.0000000,-557334.0000000
"Non Operating Expenses","USA","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","USA","Actual",-50728.0000000,-48754.0000000,-51187.0000000,-51186.0000000,-49839.0000000,-49375.0000000,-51459.0000000,-49273.0000000,-47942.0000000,-48054.0000000,-46204.0000000,-48056.0000000,-592057.0000000
"Operating Expenses","Canada","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Total Operating Expense","Canada","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Operating Profit (Loss)","Canada","Actual",-47776.0000000,-45539.0000000,-48551.0000000,-48035.0000000,-46850.0000000,-45551.0000000,-48830.0000000,-45987.0000000,-45927.0000000,-45030.0000000,-44139.0000000,-45119.0000000,-557334.0000000
"Non Operating Expenses","Canada","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","Canada","Actual",-50728.0000000,-48754.0000000,-51187.0000000,-51186.0000000,-49839.0000000,-49375.0000000,-51459.0000000,-49273.0000000,-47942.0000000,-48054.0000000,-46204.0000000,-48056.0000000,-592057.0000000
"Operating Expenses","Asia Pacific","Actual",75173.1094447,71590.8717732,76414.1618343,75587.8611465,73690.2520089,71610.0880682,76860.9406945,72308.2801222,72212.1986469,70775.7805908,69348.9706823,70918.3014459,876490.8164586
"Total Operating Expense","Asia Pacific","Actual",75173.1094447,71590.8717732,76414.1618343,75587.8611465,73690.2520089,71610.0880682,76860.9406945,72308.2801222,72212.1986469,70775.7805908,69348.9706823,70918.3014459,876490.8164586
"Operating Profit (Loss)","Asia Pacific","Actual",-75173.1094447,-71590.8717732,-76414.1618343,-75587.8611465,-73690.2520089,-71610.0880682,-76860.9406945,-72308.2801222,-72212.1986469,-70775.7805908,-69348.9706823,-70918.3014459,-876490.8164586
"Non Operating Expenses","Asia Pacific","Actual",5191.6048706,5612.7620041,4685.5757673,5510.2750971,5250.8551138,6587.9889787,4674.3662618,5726.4584166,3691.1324977,5306.9026410,3771.2003938,5167.5845018,61176.7065444
"Net Profit (Loss)","Asia Pacific","Actual",-80364.7143154,-77203.6337773,-81099.7376016,-81098.1362437,-78941.1071227,-78198.0770469,-81535.3069564,-78034.7385388,-75903.3311446,-76082.6832319,-73120.1710761,-76085.8859477,-937667.5230030
"Operating Expenses","Singapore","Actual",28776.0000000,26539.0000000,29551.0000000,29035.0000000,27850.0000000,26551.0000000,29830.0000000,26987.0000000,26927.0000000,26030.0000000,25139.0000000,26119.0000000,329334.0000000
"Total Operating Expense","Singapore","Actual",28776.0000000,26539.0000000,29551.0000000,29035.0000000,27850.0000000,26551.0000000,29830.0000000,26987.0000000,26927.0000000,26030.0000000,25139.0000000,26119.0000000,329334.0000000
"Operating Profit (Loss)","Singapore","Actual",-28776.0000000,-26539.0000000,-29551.0000000,-29035.0000000,-27850.0000000,-26551.0000000,-29830.0000000,-26987.0000000,-26927.0000000,-26030.0000000,-25139.0000000,-26119.0000000,-329334.0000000
"Non Operating Expenses","Singapore","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","Singapore","Actual",-31728.0000000,-29754.0000000,-32187.0000000,-32186.0000000,-30839.0000000,-30375.0000000,-32459.0000000,-30273.0000000,-28942.0000000,-29054.0000000,-27204.0000000,-29056.0000000,-364057.0000000
"Operating Expenses","Thailand","Actual",403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,4836000.0000000
"Total Operating Expense","Thailand","Actual",403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,4836000.0000000
"Operating Profit (Loss)","Thailand","Actual",-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-403000.0000000,-4836000.0000000
"Non Operating Expenses","Thailand","Actual",15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,180000.0000000
"Net Profit (Loss)","Thailand","Actual",-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-418000.0000000,-5016000.0000000
"Operating Expenses","Australia","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Total Operating Expense","Australia","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Operating Profit (Loss)","Australia","Actual",-47776.0000000,-45539.0000000,-48551.0000000,-48035.0000000,-46850.0000000,-45551.0000000,-48830.0000000,-45987.0000000,-45927.0000000,-45030.0000000,-44139.0000000,-45119.0000000,-557334.0000000
"Non Operating Expenses","Australia","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Net Profit (Loss)","Australia","Actual",-50728.0000000,-48754.0000000,-51187.0000000,-51186.0000000,-49839.0000000,-49375.0000000,-51459.0000000,-49273.0000000,-47942.0000000,-48054.0000000,-46204.0000000,-48056.0000000,-592057.0000000
"Operating Expenses","Europe","Actual",72634.2246575,78697.2575342,78798.4301370,76744.3305936,80721.8109589,77796.4739726,76776.2748858,77157.9789954,76669.0986301,72522.6502283,77823.1232877,79055.3114155,925396.9652968
"Total Operating Expense","Europe","Actual",72634.2246575,78697.2575342,78798.4301370,76744.3305936,80721.8109589,77796.4739726,76776.2748858,77157.9789954,76669.0986301,72522.6502283,77823.1232877,79055.3114155,925396.9652968
"Operating Profit (Loss)","Europe","Actual",-72634.2246575,-78697.2575342,-78798.4301370,-76744.3305936,-80721.8109589,-77796.4739726,-76776.2748858,-77157.9789954,-76669.0986301,-72522.6502283,-77823.1232877,-79055.3114155,-925396.9652968
