dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Marketing","North America","Budget",16233.9895883,13294.7420729,19465.2153336,16553.2191197,15319.1244676,16035.4443919,19225.7931850,14966.8040700,13117.6086133,11949.6956933,12956.0473261,13588.6668244,182706.3506862
"Training","North America","Budget",4403.0317085,4192.8073829,3404.4661619,5269.2337908,5245.8755324,1930.9493611,3365.5357312,2152.8528159,3791.8239470,5415.2229058,1892.0189304,3813.2356839,44877.0539517
"Office Costs","North America","Budget",12017.8239470,10812.9271178,11293.7179366,11336.5414103,10287.3663038,10357.4410790,12115.1500237,12052.8613346,12146.2943682,9944.7785140,10727.2801704,10081.0350213,133173.2172267
"Admin","North America","Budget",2869.1727402,1664.2759110,2145.0667298,2187.8902035,1138.7150970,1208.7898722,2966.4988168,2904.2101278,2997.6431614,796.1273071,1578.6289636,932.3838145,23389.4027449
"Office lease","North America","Budget",7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,93433.0336015
"Utilities","North America","Budget",973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,11679.1292002
"Other Office Expenses","North America","Budget",389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,4671.6516801
"Operating Expenses","North America","Budget",110083.2448336,105728.8761634,111591.7990219,110587.3939107,108280.7658937,105752.2344218,112134.8785297,106600.9178104,106484.1265184,104738.0967029,103003.7460167,104911.3371194,1289897.4169427
"Other Expenses","North America","Budget",5746.1315665,6258.0667298,5131.0307619,6133.4893516,5818.1528632,7443.4983436,5117.4051112,6396.2697586,3922.2408897,5886.2811169,4019.5669664,5716.9337435,67589.0672030
"Total Expenses","North America","Budget",115829.3764001,111986.9428932,116722.8297839,116720.8832623,114098.9187569,113195.7327654,117252.2836410,112997.1875690,110406.3674081,110624.3778198,107023.3129831,110628.2708629,1357486.4841458
"Salary and Benefits","USA","Budget",42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,42875.0000000,514500.0000000
"Travel Costs","USA","Budget",6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,72000.0000000
"Marketing","USA","Budget",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","USA","Budget",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","USA","Budget",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","USA","Budget",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","USA","Budget",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","USA","Budget",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","USA","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","USA","Budget",65651.0000000,63414.0000000,66426.0000000,65910.0000000,64725.0000000,63426.0000000,66705.0000000,63862.0000000,63802.0000000,62905.0000000,62014.0000000,62994.0000000,771834.0000000
"Other Expenses","USA","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","USA","Budget",68603.0000000,66629.0000000,69062.0000000,69061.0000000,67714.0000000,67250.0000000,69334.0000000,67148.0000000,65817.0000000,65929.0000000,64079.0000000,65931.0000000,806557.0000000
"Salary and Benefits","Canada","Budget",24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,24166.6666667,290000.0000000
"Travel Costs","Canada","Budget",6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,72000.0000000
"Marketing","Canada","Budget",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","Canada","Budget",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","Canada","Budget",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","Canada","Budget",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","Canada","Budget",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","Canada","Budget",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","Canada","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","Canada","Budget",46942.6666667,44705.6666667,47717.6666667,47201.6666667,46016.6666667,44717.6666667,47996.6666667,45153.6666667,45093.6666667,44196.6666667,43305.6666667,44285.6666667,547334.0000000
"Other Expenses","Canada","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","Canada","Budget",49894.6666667,47920.6666667,50353.6666667,50352.6666667,49005.6666667,48541.6666667,50625.6666667,48439.6666667,47108.6666667,47220.6666667,45370.6666667,47222.6666667,582057.0000000
"Salary and Benefits","Asia Pacific","Budget",63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,63067.9172135,756815.0065621
"Travel Costs","Asia Pacific","Budget",5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,5247.0485352,62964.5824224
"Marketing","Asia Pacific","Budget",13355.3250697,10937.2746074,16013.5792202,13617.9477689,12602.6868463,13191.9865616,15816.6121958,12312.8410624,10791.5510365,9830.7362833,10658.6383290,11179.0796537,150308.2586350
"Training","Asia Pacific","Budget",3622.2716196,3449.3249640,2800.7750056,4334.8758949,4315.6595999,1588.5470586,2768.7478472,1771.1018618,3119.4452321,4454.9777391,1556.5199002,3137.0601692,36919.3068923
"Office Costs","Asia Pacific","Budget",9886.7838106,8895.5432568,9291.0786636,9326.3085379,8463.1766179,8520.8255031,9966.8517067,9915.6082532,9992.4734334,8181.3376236,8825.0835083,8293.4326782,109558.5035932
"Admin","Asia Pacific","Budget",2360.4015771,1369.1610233,1764.6964301,1799.9263044,936.7943844,994.4432696,2440.4694732,2389.2260197,2466.0911999,654.9553901,1298.7012748,767.0504446,19241.9167910
"Office lease","Asia Pacific","Budget",6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,6405.4316881,76865.1802572
"Utilities","Asia Pacific","Budget",800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,800.6789610,9608.1475321
"Other Office Expenses","Asia Pacific","Budget",320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,320.2715844,3843.2590129
"Operating Expenses","Asia Pacific","Budget",95179.3462486,91597.1085770,96420.3986382,95594.0979504,93696.4888128,91616.3248721,96867.1774984,92314.5169261,92218.4354508,90782.0173947,89355.2074862,90924.5382498,1116565.6581049
"Other Expenses","Asia Pacific","Budget",4727.2085858,5148.3657193,4221.1794825,5045.8788123,4786.4588289,6123.5926938,4209.9699770,5262.0621318,3226.7362129,4842.5063562,3306.8041090,4703.1882170,55603.9511265
"Total Expenses","Asia Pacific","Budget",99906.5548344,96745.4742963,100641.5781206,100639.9767627,98482.9476417,97739.9175659,101077.1474754,97576.5790579,95445.1716636,95624.5237509,92662.0115952,95627.7264668,1172169.6092314
"Salary and Benefits","Singapore","Budget",8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,8124.9750000,97499.7000000
"Marketing","Singapore","Budget",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","Singapore","Budget",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","Singapore","Budget",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","Singapore","Budget",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","Singapore","Budget",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","Singapore","Budget",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","Singapore","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","Singapore","Budget",24900.9750000,22663.9750000,25675.9750000,25159.9750000,23974.9750000,22675.9750000,25954.9750000,23111.9750000,23051.9750000,22154.9750000,21263.9750000,22243.9750000,282833.7000000
"Other Expenses","Singapore","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","Singapore","Budget",27852.9750000,25878.9750000,28311.9750000,28310.9750000,26963.9750000,26499.9750000,28583.9750000,26397.9750000,25066.9750000,25178.9750000,23328.9750000,25180.9750000,317556.7000000
"Salary and Benefits","Thailand","Budget",225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,2708325.0000000
"Operating Expenses","Thailand","Budget",225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,2708325.0000000
"Total Expenses","Thailand","Budget",225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,225693.7500000,2708325.0000000
"Salary and Benefits","Australia","Budget",57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,57374.9500000,688499.4000000
"Travel Costs","Australia","Budget",6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,72000.0000000
"Marketing","Australia","Budget",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","Australia","Budget",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","Australia","Budget",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","Australia","Budget",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","Australia","Budget",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","Australia","Budget",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","Australia","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","Australia","Budget",80150.9500000,77913.9500000,80925.9500000,80409.9500000,79224.9500000,77925.9500000,81204.9500000,78361.9500000,78301.9500000,77404.9500000,76513.9500000,77493.9500000,945833.4000000
"Other Expenses","Australia","Budget",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","Australia","Budget",83102.9500000,81128.9500000,83561.9500000,83560.9500000,82213.9500000,81749.9500000,83833.9500000,81647.9500000,80316.9500000,80428.9500000,78578.9500000,80430.9500000,980556.4000000
"Salary and Benefits","Europe","Budget",41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,41321.9748858,495863.6986301
"Marketing","Europe","Budget",5680.0776256,4847.6273973,5739.4602740,4712.2054795,5658.7022831,5862.9077626,5125.3652968,4949.8429224,5394.7616438,4403.0529680,4310.4904110,5506.9178082,62191.4118721
"Training","Europe","Budget",666.4365297,972.0721461,1276.0639269,1366.8684932,1509.1378995,1633.3077626,971.7863014,1096.1561644,1215.7652968,1361.0401826,1573.2173516,1524.6712329,15166.5232877
"Office Costs","Europe","Budget",4365.9671233,4602.6849315,4432.9726027,4219.7917808,4433.8767123,4514.2347032,4355.9598174,4655.5013699,4341.8876712,4349.6127854,4555.4210046,4443.1552511,53271.0657534
"Admin","Europe","Budget",589.7981735,826.5159817,656.8036530,443.6228311,657.7077626,738.0657534,579.7908676,879.3324201,565.7187215,573.4438356,779.2520548,666.9863014,7957.0383562
"Office lease","Europe","Budget",2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,2523.7351598,30284.8219178
"Utilities","Europe","Budget",1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,1126.3470320,13516.1643836
"Other Office Expenses","Europe","Budget",126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,126.0867580,1513.0410959
"Operating Expenses","Europe","Budget",52034.4561644,51744.3593607,52770.4716895,51620.8406393,52923.6917808,53332.4251142,51775.0863014,52023.4753425,52274.3894977,51435.6808219,51761.1036530,52796.7191781,626492.6995434
"Other Expenses","Europe","Budget",1607.1324201,1945.2858447,2206.2904110,2078.1150685,2169.7561644,1872.4091324,1843.1945205,1773.1954338,2080.9333333,2160.8283105,1869.4684932,2156.8374429,23763.4465753
"Total Expenses","Europe","Budget",53641.5885845,53689.6452055,54976.7621005,53698.9557078,55093.4479452,55204.8342466,53618.2808219,53796.6707763,54355.3228311,53596.5091324,53630.5721461,54953.5566210,650256.1461187
"Salary and Benefits","UK","Budget",22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,22750.0000000,273000.0000000
"Marketing","UK","Budget",2350.0000000,2298.0000000,2121.0000000,1905.0000000,2491.0000000,2206.0000000,2170.0000000,1892.0000000,1776.0000000,1552.0000000,1758.0000000,2085.0000000,24604.0000000
"Training","UK","Budget",217.0000000,226.0000000,325.0000000,489.0000000,529.0000000,673.0000000,384.0000000,309.0000000,637.0000000,611.0000000,667.0000000,675.0000000,5742.0000000
"Office Costs","UK","Budget",1491.0000000,1605.0000000,1425.0000000,1413.0000000,1485.0000000,1553.0000000,1579.0000000,1626.0000000,1353.0000000,1379.0000000,1499.0000000,1415.0000000,17823.0000000
"Admin","UK","Budget",241.0000000,355.0000000,175.0000000,163.0000000,235.0000000,303.0000000,329.0000000,376.0000000,103.0000000,129.0000000,249.0000000,165.0000000,2823.0000000
"Office lease","UK","Budget",1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,12000.0000000
"Utilities","UK","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Other Office Expenses","UK","Budget",50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,50.0000000,600.0000000
"Operating Expenses","UK","Budget",26808.0000000,26879.0000000,26621.0000000,26557.0000000,27255.0000000,27182.0000000,26883.0000000,26577.0000000,26516.0000000,26292.0000000,26674.0000000,26925.0000000,321169.0000000
"Other Expenses","UK","Budget",595.0000000,937.0000000,882.0000000,804.0000000,747.0000000,547.0000000,942.0000000,931.0000000,803.0000000,973.0000000,927.0000000,863.0000000,9951.0000000
"Total Expenses","UK","Budget",27403.0000000,27816.0000000,27503.0000000,27361.0000000,28002.0000000,27729.0000000,27825.0000000,27508.0000000,27319.0000000,27265.0000000,27601.0000000,27788.0000000,331120.0000000
"Salary and Benefits","France","Budget",14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,14437.5000000,173250.0000000
"Marketing","France","Budget",2903.0000000,2132.0000000,3233.0000000,2461.0000000,2715.0000000,3256.0000000,2561.0000000,2714.0000000,3296.0000000,2569.0000000,2233.0000000,3043.0000000,33116.0000000
"Training","France","Budget",410.0000000,705.0000000,892.0000000,789.0000000,884.0000000,838.0000000,518.0000000,731.0000000,463.0000000,639.0000000,785.0000000,727.0000000,8381.0000000
"Office Costs","France","Budget",2604.0000000,2706.0000000,2749.0000000,2550.0000000,2679.0000000,2679.0000000,2490.0000000,2734.0000000,2743.0000000,2720.0000000,2784.0000000,2771.0000000,32209.0000000
"Admin","France","Budget",305.0000000,407.0000000,450.0000000,251.0000000,380.0000000,380.0000000,191.0000000,435.0000000,444.0000000,421.0000000,485.0000000,472.0000000,4621.0000000
"Office lease","France","Budget",1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,1342.0000000,16104.0000000
"Utilities","France","Budget",890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,890.0000000,10680.0000000
"Other Office Expenses","France","Budget",67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,67.0000000,804.0000000
"Operating Expenses","France","Budget",20354.5000000,19980.5000000,21311.5000000,20237.5000000,20715.5000000,21210.5000000,20006.5000000,20616.5000000,20939.5000000,20365.5000000,20239.5000000,20978.5000000,246956.0000000
"Other Expenses","France","Budget",904.0000000,838.0000000,1164.0000000,1128.0000000,1287.0000000,1226.0000000,730.0000000,673.0000000,1132.0000000,1011.0000000,774.0000000,1137.0000000,12004.0000000
"Total Expenses","France","Budget",21258.5000000,20818.5000000,22475.5000000,21365.5000000,22002.5000000,22436.5000000,20736.5000000,21289.5000000,22071.5000000,21376.5000000,21013.5000000,22115.5000000,258960.0000000
"Salary and Benefits","World","Actual",129524.6222394,135014.0606732,131884.2306887,133093.6588185,135480.3151812,135476.4511935,133902.5202301,134832.4532543,133333.2260519,129686.9097201,132771.6598489,134628.9499056,1599629.0578053
"Travel Costs","World","Actual",17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,17142.8960016,205714.7520197
"Marketing","World","Actual",53454.7504960,52004.5803699,66373.4837778,55669.9685246,59771.6194687,55594.7123309,62057.5181026,53684.7830024,52717.2508532,48469.6064610,50661.3877990,53796.9636368,664256.6248229
"Training","World","Actual",16227.4725850,13656.9446655,13266.4707403,18128.7672331,15461.4840960,9914.9297523,13073.8687039,10407.0093700,12703.0370754,15388.0618085,10567.1342107,12981.6556840,161776.8359248
"Office Costs","World","Actual",45372.9628913,43776.7775173,43744.7008342,43900.1139200,40997.8309126,42348.6389879,44620.3097434,45134.9831815,44463.1661650,41149.0458327,44359.2688231,42015.8565516,521883.6553607
"Admin","World","Actual",9626.3422515,8030.1568775,7998.0801944,8153.4932802,5251.2102728,6602.0183481,8873.6891036,9388.3625416,8716.5455251,5402.4251929,8612.6481833,6269.2359118,92924.2076829
"Office lease","World","Actual",29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,29950.4657103,359405.5885236
"Utilities","World","Actual",4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,4375.0626353,52500.7516241
"Other Office Expenses","World","Actual",1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,1421.0922942,17053.1075302
"Operating Expenses","World","Actual",261722.7042134,261595.2592276,272411.7820426,267935.4044979,268854.1456602,260477.6282663,270797.1127816,261202.1248099,260359.5761470,251836.5198239,255502.3466833,260566.3217797,3153260.9259334
"Other Expenses","World","Actual",20692.6125896,22786.0774289,21780.1968266,23585.8987344,22422.3458271,23366.5238684,19576.8466179,22630.6984584,15315.2323360,22677.5831284,17708.8167110,22838.2586089,255381.0911355
"Total Expenses","World","Actual",282415.3168030,284381.3366564,294191.9788691,291521.3032322,291276.4914873,283844.1521347,290373.9593995,283832.8232683,275674.8084830,274514.1029523,273211.1633943,283404.5803885,3408642.0170689
"Salary and Benefits","North America","Actual",48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,48663.0383341,583956.4600095
"Travel Costs","North America","Actual",11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,140149.5504023
