dim1,dim2,dim3,dim4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Net Asset Value","Canada","Total Asset Category","Budget",-0.0000000,-0.0000000,-0.0000000,4033.3333333,3666.6666667,3300.0000000,2933.3333333,2566.6666667,2200.0000000,1833.3333333,1466.6666667,1100.0000000,1100.0000000
"Total Depreciation","Canada","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,3300.0000000
"Cost Value","Asia Pacific","Total Asset Category","Budget",0.0000000,891.9982510,0.0000000,0.0000000,0.0000000,619.1950464,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1511.1932974
"Depreciation","Asia Pacific","Total Asset Category","Budget",0.0000000,74.3331876,74.3331876,74.3331876,74.3331876,125.9327748,125.9327748,125.9327748,125.9327748,125.9327748,125.9327748,125.9327748,1178.8621738
"Cumulative Depreciation","Asia Pacific","Total Asset Category","Budget",0.0000000,74.3331876,148.6663752,222.9995627,297.3327503,423.2655251,549.1982999,675.1310747,801.0638495,926.9966243,1052.9293990,1178.8621738,1178.8621738
"Net Asset Value","Asia Pacific","Total Asset Category","Budget",-0.0000000,817.6650634,743.3318758,668.9986882,594.6655007,1087.9277723,961.9949975,836.0622227,710.1294480,584.1966732,458.2638984,332.3311236,332.3311236
"Depreciation on Existing Assets","Asia Pacific","Total Asset Category","Budget",1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,17444.3959878
"Total Depreciation","Asia Pacific","Total Asset Category","Budget",1453.6996656,1528.0328532,1528.0328532,1528.0328532,1528.0328532,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,18623.2581616
"Depreciation on Existing Assets","Singapore","Total Asset Category","Budget",2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,24000.0000000
"Total Depreciation","Singapore","Total Asset Category","Budget",2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,24000.0000000
"Cost Value","Thailand","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20000.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20000.0000000
"Depreciation","Thailand","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,11666.6666667
"Cumulative Depreciation","Thailand","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,3333.3333333,5000.0000000,6666.6666667,8333.3333333,10000.0000000,11666.6666667,11666.6666667
"Net Asset Value","Thailand","Total Asset Category","Budget",-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,18333.3333333,16666.6666667,15000.0000000,13333.3333333,11666.6666667,10000.0000000,8333.3333333,8333.3333333
"Total Depreciation","Thailand","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,11666.6666667
"Cost Value","Australia","Total Asset Category","Budget",0.0000000,1020.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1020.0000000
"Depreciation","Australia","Total Asset Category","Budget",0.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,935.0000000
"Cumulative Depreciation","Australia","Total Asset Category","Budget",0.0000000,85.0000000,170.0000000,255.0000000,340.0000000,425.0000000,510.0000000,595.0000000,680.0000000,765.0000000,850.0000000,935.0000000,935.0000000
"Net Asset Value","Australia","Total Asset Category","Budget",-0.0000000,935.0000000,850.0000000,765.0000000,680.0000000,595.0000000,510.0000000,425.0000000,340.0000000,255.0000000,170.0000000,85.0000000,85.0000000
"Total Depreciation","Australia","Total Asset Category","Budget",0.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,935.0000000
"Cost Value","Europe","Total Asset Category","Budget",0.0000000,0.0000000,2268.9315068,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,2100.0000000,0.0000000,4368.9315068
"Depreciation","Europe","Total Asset Category","Budget",0.0000000,0.0000000,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,364.0776256,364.0776256,2240.7762557
"Cumulative Depreciation","Europe","Total Asset Category","Budget",0.0000000,0.0000000,189.0776256,378.1552511,567.2328767,756.3105023,945.3881279,1134.4657534,1323.5433790,1512.6210046,1876.6986301,2240.7762557,2240.7762557
"Net Asset Value","Europe","Total Asset Category","Budget",-0.0000000,-0.0000000,2079.8538813,1890.7762557,1701.6986301,1512.6210046,1323.5433790,1134.4657534,945.3881279,756.3105023,2492.2328767,2128.1552511,2128.1552511
"Total Depreciation","Europe","Total Asset Category","Budget",0.0000000,0.0000000,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,364.0776256,364.0776256,2240.7762557
"Cost Value","UK","Total Asset Category","Budget",0.0000000,0.0000000,1920.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1920.0000000
"Depreciation","UK","Total Asset Category","Budget",0.0000000,0.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,1600.0000000
"Cumulative Depreciation","UK","Total Asset Category","Budget",0.0000000,0.0000000,160.0000000,320.0000000,480.0000000,640.0000000,800.0000000,960.0000000,1120.0000000,1280.0000000,1440.0000000,1600.0000000,1600.0000000
"Net Asset Value","UK","Total Asset Category","Budget",-0.0000000,-0.0000000,1760.0000000,1600.0000000,1440.0000000,1280.0000000,1120.0000000,960.0000000,800.0000000,640.0000000,480.0000000,320.0000000,320.0000000
"Total Depreciation","UK","Total Asset Category","Budget",0.0000000,0.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,1600.0000000
"Cost Value","France","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,2100.0000000,0.0000000,2100.0000000
"Depreciation","France","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,175.0000000,350.0000000
"Cumulative Depreciation","France","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,350.0000000,350.0000000
"Net Asset Value","France","Total Asset Category","Budget",-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,1925.0000000,1750.0000000,1750.0000000
"Total Depreciation","France","Total Asset Category","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,175.0000000,350.0000000
"Cost Value","World","Computer Equipment","Budget",1720.0000000,891.9982510,2922.3744292,4164.6947468,0.00,619.1950464,0.00,0.00,0.00,0.00,2704.7913447,0.00,13023.0538181
"Depreciation","World","Computer Equipment","Budget",143.3333333,217.6665209,461.1977234,808.2556189,808.2556189,859.8552061,859.8552061,859.8552061,859.8552061,859.8552061,1085.2544848,1085.2544848,8908.4938157
"Cumulative Depreciation","World","Computer Equipment","Budget",143.3333333,360.9998542,822.1975776,1630.4531965,2438.7088154,3298.5640216,4158.4192277,5018.2744338,5878.1296399,6737.9848460,7823.2393309,8908.4938157,8908.4938157
"Net Asset Value","World","Computer Equipment","Budget",1576.6666667,2250.9983967,4712.1751026,8068.6142305,7260.3586116,7019.6984519,6159.8432458,5299.9880397,4440.1328335,3580.2776274,5199.8144872,4114.5600024,4114.5600024
"Depreciation on Existing Assets","World","Computer Equipment","Budget",1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,17444.3959878
"Total Depreciation","World","Computer Equipment","Budget",1597.0329990,1671.3661866,1914.8973890,2261.9552846,2261.9552846,2313.5548718,2313.5548718,2313.5548718,2313.5548718,2313.5548718,2538.9541505,2538.9541505,26352.8898035
"Cost Value","North America","Computer Equipment","Budget",1720.0000000,0.00,0.00,4164.6947468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5884.6947468
"Depreciation","North America","Computer Equipment","Budget",143.3333333,143.3333333,143.3333333,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,4843.5210601
"Cumulative Depreciation","North America","Computer Equipment","Budget",143.3333333,286.6666667,430.0000000,920.3912289,1410.7824578,1901.1736867,2391.5649156,2881.9561445,3372.3473734,3862.7386023,4353.1298312,4843.5210601,4843.5210601
"Net Asset Value","North America","Computer Equipment","Budget",1576.6666667,1433.3333333,1290.0000000,4964.3035179,4473.9122890,3983.5210601,3493.1298312,3002.7386023,2512.3473734,2021.9561445,1531.5649156,1041.1736867,1041.1736867
"Total Depreciation","North America","Computer Equipment","Budget",143.3333333,143.3333333,143.3333333,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,490.3912289,4843.5210601
"Cost Value","USA","Computer Equipment","Budget",1720.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1720.0000000
"Depreciation","USA","Computer Equipment","Budget",143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,1720.0000000
"Cumulative Depreciation","USA","Computer Equipment","Budget",143.3333333,286.6666667,430.0000000,573.3333333,716.6666667,860.0000000,1003.3333333,1146.6666667,1290.0000000,1433.3333333,1576.6666667,1720.0000000,1720.0000000
"Net Asset Value","USA","Computer Equipment","Budget",1576.6666667,1433.3333333,1290.0000000,1146.6666667,1003.3333333,860.0000000,716.6666667,573.3333333,430.0000000,286.6666667,143.3333333,0.0000000,0.0000000
"Total Depreciation","USA","Computer Equipment","Budget",143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,143.3333333,1720.0000000
"Cost Value","Canada","Computer Equipment","Budget",0.00,0.00,0.00,4400.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4400.0000000
"Depreciation","Canada","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,3300.0000000
"Cumulative Depreciation","Canada","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,366.6666667,733.3333333,1100.0000000,1466.6666667,1833.3333333,2200.0000000,2566.6666667,2933.3333333,3300.0000000,3300.0000000
"Net Asset Value","Canada","Computer Equipment","Budget",-0.0000000,-0.0000000,-0.0000000,4033.3333333,3666.6666667,3300.0000000,2933.3333333,2566.6666667,2200.0000000,1833.3333333,1466.6666667,1100.0000000,1100.0000000
"Total Depreciation","Canada","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,366.6666667,3300.0000000
"Cost Value","Asia Pacific","Computer Equipment","Budget",0.00,891.9982510,0.00,0.00,0.00,619.1950464,0.00,0.00,0.00,0.00,0.00,0.00,1511.1932974
"Depreciation","Asia Pacific","Computer Equipment","Budget",0.0000000,74.3331876,74.3331876,74.3331876,74.3331876,125.9327748,125.9327748,125.9327748,125.9327748,125.9327748,125.9327748,125.9327748,1178.8621738
"Cumulative Depreciation","Asia Pacific","Computer Equipment","Budget",0.0000000,74.3331876,148.6663752,222.9995627,297.3327503,423.2655251,549.1982999,675.1310747,801.0638495,926.9966243,1052.9293990,1178.8621738,1178.8621738
"Net Asset Value","Asia Pacific","Computer Equipment","Budget",-0.0000000,817.6650634,743.3318758,668.9986882,594.6655007,1087.9277723,961.9949975,836.0622227,710.1294480,584.1966732,458.2638984,332.3311236,332.3311236
"Depreciation on Existing Assets","Asia Pacific","Computer Equipment","Budget",1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,1453.6996656,17444.3959878
"Total Depreciation","Asia Pacific","Computer Equipment","Budget",1453.6996656,1528.0328532,1528.0328532,1528.0328532,1528.0328532,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,1579.6324404,18623.2581616
"Depreciation on Existing Assets","Singapore","Computer Equipment","Budget",2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,24000.0000000
"Total Depreciation","Singapore","Computer Equipment","Budget",2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,24000.0000000
"Cost Value","Thailand","Computer Equipment","Budget",0.00,0.00,0.00,0.00,0.00,20000.0000000,0.00,0.00,0.00,0.00,0.00,0.00,20000.0000000
"Depreciation","Thailand","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,11666.6666667
"Cumulative Depreciation","Thailand","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,3333.3333333,5000.0000000,6666.6666667,8333.3333333,10000.0000000,11666.6666667,11666.6666667
"Net Asset Value","Thailand","Computer Equipment","Budget",-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,18333.3333333,16666.6666667,15000.0000000,13333.3333333,11666.6666667,10000.0000000,8333.3333333,8333.3333333
"Total Depreciation","Thailand","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,1666.6666667,11666.6666667
"Cost Value","Australia","Computer Equipment","Budget",0.00,1020.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1020.0000000
"Depreciation","Australia","Computer Equipment","Budget",0.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,935.0000000
"Cumulative Depreciation","Australia","Computer Equipment","Budget",0.0000000,85.0000000,170.0000000,255.0000000,340.0000000,425.0000000,510.0000000,595.0000000,680.0000000,765.0000000,850.0000000,935.0000000,935.0000000
"Net Asset Value","Australia","Computer Equipment","Budget",-0.0000000,935.0000000,850.0000000,765.0000000,680.0000000,595.0000000,510.0000000,425.0000000,340.0000000,255.0000000,170.0000000,85.0000000,85.0000000
"Total Depreciation","Australia","Computer Equipment","Budget",0.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,85.0000000,935.0000000
"Cost Value","Europe","Computer Equipment","Budget",0.00,0.00,2268.9315068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2100.0000000,0.00,4368.9315068
"Depreciation","Europe","Computer Equipment","Budget",0.0000000,0.0000000,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,364.0776256,364.0776256,2240.7762557
"Cumulative Depreciation","Europe","Computer Equipment","Budget",0.0000000,0.0000000,189.0776256,378.1552511,567.2328767,756.3105023,945.3881279,1134.4657534,1323.5433790,1512.6210046,1876.6986301,2240.7762557,2240.7762557
"Net Asset Value","Europe","Computer Equipment","Budget",-0.0000000,-0.0000000,2079.8538813,1890.7762557,1701.6986301,1512.6210046,1323.5433790,1134.4657534,945.3881279,756.3105023,2492.2328767,2128.1552511,2128.1552511
"Total Depreciation","Europe","Computer Equipment","Budget",0.0000000,0.0000000,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,189.0776256,364.0776256,364.0776256,2240.7762557
"Cost Value","UK","Computer Equipment","Budget",0.00,0.00,1920.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1920.0000000
"Depreciation","UK","Computer Equipment","Budget",0.0000000,0.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,1600.0000000
"Cumulative Depreciation","UK","Computer Equipment","Budget",0.0000000,0.0000000,160.0000000,320.0000000,480.0000000,640.0000000,800.0000000,960.0000000,1120.0000000,1280.0000000,1440.0000000,1600.0000000,1600.0000000
"Net Asset Value","UK","Computer Equipment","Budget",-0.0000000,-0.0000000,1760.0000000,1600.0000000,1440.0000000,1280.0000000,1120.0000000,960.0000000,800.0000000,640.0000000,480.0000000,320.0000000,320.0000000
"Total Depreciation","UK","Computer Equipment","Budget",0.0000000,0.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,160.0000000,1600.0000000
"Cost Value","France","Computer Equipment","Budget",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2100.0000000,0.00,2100.0000000
"Depreciation","France","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,175.0000000,350.0000000
"Cumulative Depreciation","France","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,350.0000000,350.0000000
"Net Asset Value","France","Computer Equipment","Budget",-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,-0.0000000,1925.0000000,1750.0000000,1750.0000000
"Total Depreciation","France","Computer Equipment","Budget",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,175.0000000,175.0000000,350.0000000
