dim1,dim2,dim3,dim4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Term","World","NAB-003","Budget",24.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,24.0000000
"LoanType","World","NAB-003","Budget",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,12.0000000
"Remaining Month","World","NAB-003","Budget",24.0000000,23.0000000,22.0000000,21.0000000,20.0000000,19.0000000,18.0000000,17.0000000,16.0000000,15.0000000,14.0000000,13.0000000,222.0000000
"Principle","World","NAB-003","Budget",131176.2133800,125967.8981547,120737.8816160,115486.0733417,110212.3825329,104916.7180124,99598.9882231,94259.1012263,88896.9647004,83512.4859390,78105.5718493,72676.1289510,1225546.4079268
"Principle Repay","World","NAB-003","Budget",5208.3152253,5230.0165387,5251.8082743,5273.6908088,5295.6645205,5317.7297893,5339.8869968,5362.1365259,5384.4787614,5406.9140896,5429.4428983,5452.0655771,63952.1500060
"Interest","World","NAB-003","Budget",546.5675557,524.8662423,503.0745067,481.1919723,459.2182606,437.1529917,414.9957843,392.7462551,370.4040196,347.9686914,325.4398827,302.8172040,5106.4433664
"Total payment","World","NAB-003","Budget",5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,69058.5933724
"Loan Amount","Asia Pacific","NAB-003","Budget",131176.2133800,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,131176.2133800
"Annual Rate","Asia Pacific","NAB-003","Budget",0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.6000000
"Term","Asia Pacific","NAB-003","Budget",24.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,24.0000000
"LoanType","Asia Pacific","NAB-003","Budget",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,12.0000000
"Remaining Month","Asia Pacific","NAB-003","Budget",24.0000000,23.0000000,22.0000000,21.0000000,20.0000000,19.0000000,18.0000000,17.0000000,16.0000000,15.0000000,14.0000000,13.0000000,222.0000000
"Principle","Asia Pacific","NAB-003","Budget",131176.2133800,125967.8981547,120737.8816160,115486.0733417,110212.3825329,104916.7180124,99598.9882231,94259.1012263,88896.9647004,83512.4859390,78105.5718493,72676.1289510,1225546.4079268
"Principle Repay","Asia Pacific","NAB-003","Budget",5208.3152253,5230.0165387,5251.8082743,5273.6908088,5295.6645205,5317.7297893,5339.8869968,5362.1365259,5384.4787614,5406.9140896,5429.4428983,5452.0655771,63952.1500060
"Interest","Asia Pacific","NAB-003","Budget",546.5675557,524.8662423,503.0745067,481.1919723,459.2182606,437.1529917,414.9957843,392.7462551,370.4040196,347.9686914,325.4398827,302.8172040,5106.4433664
"Total payment","Asia Pacific","NAB-003","Budget",5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,5754.8827810,69058.5933724
"Loan Amount","Australia","NAB-003","Budget",150000.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150000.0000000
"Annual Rate","Australia","NAB-003","Budget",0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
"Term","Australia","NAB-003","Budget",24.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"LoanType","Australia","NAB-003","Budget",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
"Remaining Month","Australia","NAB-003","Budget",24.0000000,23.0000000,22.0000000,21.0000000,20.0000000,19.0000000,18.0000000,17.0000000,16.0000000,15.0000000,14.0000000,13.0000000,13.0000000
"Principle","Australia","NAB-003","Budget",150000.0000000,144044.2915399,138063.7676279,132058.3248662,126027.8594264,119972.2670472,113891.4430331,107785.2822523,101653.6791349,95496.5276712,89313.7214097,83105.1534555,83105.1534555
"Principle Repay","Australia","NAB-003","Budget",5955.7084601,5980.5239120,6005.4427617,6030.4654398,6055.5923792,6080.8240141,6106.1607808,6131.6031174,6157.1514637,6182.8062615,6208.5679542,6234.4369874,73129.2835319
"Interest","Australia","NAB-003","Budget",625.0000000,600.1845481,575.2656984,550.2430203,525.1160809,499.8844460,474.5476793,449.1053427,423.5569964,397.9021986,372.1405059,346.2714727,5839.2179894
"Total payment","Australia","NAB-003","Budget",6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,6580.7084601,78968.5015213
