dim1,dim2,dim3,dim4,dim5,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Sales Revenue","Canada","Total Product","Total Channels","Actual",1100260.7772296,1155273.8160911,1213037.5068958,825195.5829220,891211.2295561,962508.1279205,1039508.7781541,1122669.4804067,715169.5051994,858203.4062393,1029844.0874870,1235812.9049845,12148695.2030864
"Standard Cost per Litre","Canada","Total Product","Total Channels","Actual",22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,22.3750006,268.5000072
"Manufacturing Cost","Canada","Total Product","Total Channels","Actual",698135.0243594,733041.7755774,769693.8643564,523601.2682694,565489.3697312,610728.5193096,659586.8008544,712353.7449229,453787.7658337,544545.3190005,653454.3828005,784145.2593607,7708563.0943762
"Gross Margin","Canada","Total Product","Total Channels","Actual",402125.7528702,422232.0405137,443343.6425394,301594.3146526,325721.8598249,351779.6086109,379921.9772997,410315.7354838,261381.7393657,313658.0872388,376389.7046865,451667.6456239,4440132.1087102
"GM %","Canada","Total Product","Total Channels","Actual",0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822
"Average Price","Canada","Total Product","Total Channels","Actual",1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,1.6528837,19.8346044
"Volume Litres","Asia Pacific","Total Product","Total Channels","Actual",1143729.7919382,1200916.2815353,1260962.0956119,857797.3439536,926421.1314698,1000534.8219876,1080577.6077467,1167023.8163664,743424.3647598,892109.2377119,1070531.0852542,1284637.3023050,12628664.8806403
"Price per Litre","Asia Pacific","Total Product","Total Channels","Actual",62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,62.4951622,749.9419458
"Sales Revenue","Asia Pacific","Total Product","Total Channels","Actual",1671544.3865101,1755121.6058357,1842877.6861273,1253658.2898825,1353950.9530729,1462267.0293190,1579248.3916646,1705588.2629978,1086503.8512315,1303804.6214780,1564565.5457734,1877478.6549280,18456609.2788207
"Standard Cost per Litre","Asia Pacific","Total Product","Total Channels","Actual",12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,12.6011559,151.2138707
"Manufacturing Cost","Asia Pacific","Total Product","Total Channels","Actual",386902.1266057,406247.2329360,426559.5945828,290176.5949543,313390.7225506,338461.9803547,365538.9387830,394782.0538857,251486.3822937,301783.6587525,362140.3905029,434568.4686035,4272038.1448054
"Gross Margin","Asia Pacific","Total Product","Total Channels","Actual",1284642.2599043,1348874.3728997,1416318.0915445,963481.6949282,1040560.2305223,1123805.0489643,1213709.4528816,1310806.2091121,835017.4689378,1002020.9627255,1202425.1552705,1442910.1863245,14184571.1340153
"GM %","Asia Pacific","Total Product","Total Channels","Actual",0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361,0.7685361
"Average Price","Asia Pacific","Total Product","Total Channels","Actual",1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,1.4614854,17.5378247
"Volume Litres","Singapore","Total Product","Total Channels","Actual",253585.2718949,266264.5354897,279577.7622642,190188.9539212,205404.0702349,221836.3958537,239583.3075220,258749.9721237,164830.4267317,197796.5120780,237355.8144937,284826.9773924,2800000.0000000
"Price per Litre","Singapore","Total Product","Total Channels","Actual",27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,27.1483333,325.7799995
"Sales Revenue","Singapore","Total Product","Total Channels","Actual",645387.0266870,677656.3780213,711539.1969224,484040.2700152,522763.4916165,564584.5709458,609751.3366214,658531.4435511,419501.5673465,503401.8808158,604082.2569790,724898.7083748,7126138.1278969
"Standard Cost per Litre","Singapore","Total Product","Total Channels","Actual",1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,1.0963750,13.1565000
"Manufacturing Cost","Singapore","Total Product","Total Channels","Actual",26063.7069718,27366.8923204,28735.2369364,19547.7802288,21111.6026471,22800.5308589,24624.5733276,26594.5391938,16941.4095317,20329.6914380,24395.6297256,29274.7556707,287786.3488508
"Gross Margin","Singapore","Total Product","Total Channels","Actual",619323.3197152,650289.4857010,682803.9599860,464492.4897864,501651.8889693,541784.0400869,585126.7632938,631936.9043573,402560.1578149,483072.1893779,579686.6272534,695623.9527041,6838351.7790461
"GM %","Singapore","Total Product","Total Channels","Actual",0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154
"Average Price","Singapore","Total Product","Total Channels","Actual",2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,2.5450493,30.5405920
"Volume Litres","Thailand","Total Product","Total Channels","Actual",347019.3113299,364370.2768964,382588.7907412,260264.4834974,281085.6421772,303572.4935514,327858.2930355,354086.9564784,225562.5523645,270675.0628373,324810.0754048,389772.0904858,3831666.0288000
"Price per Litre","Thailand","Total Product","Total Channels","Actual",600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,600.3958347,7204.7500161
"Sales Revenue","Thailand","Total Product","Total Channels","Actual",19193534.7720093,20153211.5106097,21160872.0861402,14395151.0790070,15546763.1653275,16790504.2185537,18133744.5560380,19584444.1205210,12475797.6018060,14970957.1221672,17965148.5466007,21558178.2559208,211928307.0347012
"Standard Cost per Litre","Thailand","Total Product","Total Channels","Actual",396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,396.7833342,4761.4000106
"Manufacturing Cost","Thailand","Total Product","Total Channels","Actual",12684422.9797626,13318644.1287508,13984576.3351883,9513317.2348220,10274382.6136077,11096333.2226964,11984039.8805121,12942763.0709530,8244874.9368457,9893849.9242149,11872619.9090578,14247143.8908694,140056968.1272808
"Gross Margin","Thailand","Total Product","Total Channels","Actual",6509111.7922466,6834567.3818590,7176295.7509519,4881833.8441850,5272380.5517198,5694170.9958573,6149704.6755259,6641681.0495680,4230922.6649603,5077107.1979524,6092528.6375428,7311034.3650514,71871338.9074204
"GM %","Thailand","Total Product","Total Channels","Actual",0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304
"Average Price","Thailand","Total Product","Total Channels","Actual",55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,55.3097022,663.7164266
"Volume Litres","Australia","Total Product","Total Channels","Actual",543125.2087134,570281.4691492,598795.5426065,407343.9065350,439931.4190577,475125.9325825,513136.0071891,554186.8877643,353031.3856637,423637.6627966,508365.1953557,610038.2344268,5996998.8518403
"Price per Litre","Australia","Total Product","Total Channels","Actual",39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,39.3799999,472.5599990
"Sales Revenue","Australia","Total Product","Total Channels","Actual",1012659.6674018,1063292.6507721,1116457.2833104,759494.7505513,820254.3305951,885874.6770431,956744.6512067,1033284.2233032,658228.7838111,789874.5405736,947849.4486881,1137419.3384256,11181434.3456819
"Standard Cost per Litre","Australia","Total Product","Total Channels","Actual",2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,2.0883333,25.0600000
"Manufacturing Cost","Australia","Total Product","Total Channels","Actual",53164.6326356,55822.8642674,58614.0074807,39873.4744767,43063.3524348,46508.4206296,50229.0942800,54247.4218224,34557.0112131,41468.4134558,49762.0961469,59714.5153763,587025.3042194
"Gross Margin","Australia","Total Product","Total Channels","Actual",959495.0347662,1007469.7865047,1057843.2758297,719621.2760746,777190.9781603,839366.2564134,906515.5569267,979036.8014808,623671.7725980,748406.1271178,898087.3525412,1077704.8230493,10594409.0414625
"GM %","Australia","Total Product","Total Channels","Actual",0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000
"Average Price","Australia","Total Product","Total Channels","Actual",1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,1.8645050,22.3740600
"Volume Litres","Europe","Total Product","Total Channels","Actual",615849.9460305,646642.4433321,678974.5654987,461887.4595229,498838.4562847,538745.5327875,581845.1754105,628392.7894434,400302.4649198,480362.9579038,576435.5494846,691722.6593815,6800000.0000000
"Price per Litre","Europe","Total Product","Total Channels","Actual",37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,37.4709930,449.6519159
"Sales Revenue","Europe","Total Product","Total Channels","Actual",1097192.4114118,1152052.0319824,1209654.6335815,822894.3085589,888725.8532436,959823.9215031,1036609.8352233,1119538.6220412,713175.0674177,855810.0809012,1026972.0970815,1232366.5164978,12114815.3794439
"Standard Cost per Litre","Europe","Total Product","Total Channels","Actual",11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,11.9738083,143.6856997
"Manufacturing Cost","Europe","Total Product","Total Channels","Actual",400308.8559533,420324.2987510,441340.5136885,300231.6419650,324250.1733222,350190.1871880,378205.4021630,408461.8343360,260200.7563696,312240.9076436,374689.0891723,449626.9070068,4420070.5675592
"Gross Margin","Europe","Total Product","Total Channels","Actual",696883.5554585,731727.7332314,768314.1198930,522662.6665939,564475.6799214,609633.7343151,658404.4330603,711076.7877051,452974.3110480,543569.1732576,652283.0079092,782739.6094910,7694744.8118847
"GM %","Europe","Total Product","Total Channels","Actual",0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516
"Average Price","Europe","Total Product","Total Channels","Actual",1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,1.7815905,21.3790860
"Volume Litres","UK","Total Product","Total Channels","Actual",362264.6741356,380377.9078424,399396.8032345,271698.5056017,293434.3860498,316909.1369338,342261.8678885,369642.8173196,235472.0381881,282566.4458258,339079.7349909,406895.6819891,4000000.0000000
"Price per Litre","UK","Total Product","Total Channels","Actual",13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,13.8426669,166.1120023
"Sales Revenue","UK","Total Product","Total Channels","Actual",470109.2395344,493614.7015111,518295.4365867,352581.9296508,380788.4840229,411251.5627447,444151.6877643,479683.8227854,305571.0056974,366685.2068368,440022.2482042,528026.6978450,5190782.0231836
"Standard Cost per Litre","UK","Total Product","Total Channels","Actual",7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,7.7566668,93.0800013
"Manufacturing Cost","UK","Total Product","Total Channels","Actual",263423.2807736,276594.4448123,290424.1670529,197567.4605802,213372.8574266,230442.6860207,248878.1009024,268788.3489746,171225.1325028,205470.1590034,246564.1908041,295877.0289649,2908627.8578184
"Gross Margin","UK","Total Product","Total Channels","Actual",206685.9587608,217020.2566989,227871.2695338,155014.4690706,167415.6265963,180808.8767240,195273.5868619,210895.4738108,134345.8731945,161215.0478334,193458.0574001,232149.6688801,2282154.1653652
"GM %","UK","Total Product","Total Channels","Actual",0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552
"Average Price","UK","Total Product","Total Channels","Actual",1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,1.2976955,15.5723461
"Volume Litres","France","Total Product","Total Channels","Actual",253585.2718949,266264.5354897,279577.7622642,190188.9539212,205404.0702349,221836.3958537,239583.3075220,258749.9721237,164830.4267317,197796.5120780,237355.8144937,284826.9773924,2800000.0000000
"Price per Litre","France","Total Product","Total Channels","Actual",17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,17.2115385,206.5384620
"Sales Revenue","France","Total Product","Total Channels","Actual",409163.3748596,429621.5436026,451102.6207827,306872.5311447,331422.3336363,357936.1203272,386571.0099534,417496.6907496,265956.1936587,319147.4323905,382976.9188686,459572.3026423,4517839.0726163
"Standard Cost per Litre","France","Total Product","Total Channels","Actual",0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,0.6215278,7.4583334
"Manufacturing Cost","France","Total Product","Total Channels","Actual",14775.3440922,15514.1112968,16289.8168616,11081.5080691,11968.0287146,12925.4710118,13959.5086928,15076.2693882,9603.9736599,11524.7683919,13829.7220703,16595.6664843,163144.1887334
"Gross Margin","France","Total Product","Total Channels","Actual",394388.0307675,414107.4323058,434812.8039211,295791.0230756,319454.3049216,345010.6493154,372611.5012606,402420.4213615,256352.2199988,307622.6639986,369147.1967983,442976.6361580,4354694.8838829
"GM %","France","Total Product","Total Channels","Actual",0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889
"Average Price","France","Total Product","Total Channels","Actual",1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,1.6135140,19.3621675
"Volume Litres","World","Fantasy","Total Channels","Actual",277267.3364081,291130.7032285,305687.2383899,207950.5023060,224586.5424905,242553.4658898,261957.7431610,282914.3626139,180223.7686653,216268.5223983,259522.2268780,311426.6722535,3061489.0846828
"Price per Litre","World","Fantasy","Total Channels","Actual",13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,13.2025002,158.4300024
"Sales Revenue","World","Fantasy","Total Channels","Actual",403461.7616592,423634.8497422,444816.5922293,302596.3212444,326804.0269440,352948.3490996,381184.2170275,411678.9543897,262250.1450785,314700.1740942,377640.2089131,453168.2506956,4454883.8511174
"Standard Cost per Litre","World","Fantasy","Total Channels","Actual",4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,4.8073299,57.6879583
"Manufacturing Cost","World","Fantasy","Total Channels","Actual",175401.3058073,184171.3710977,193379.9396526,131550.9793555,142075.0577040,153441.0623203,165716.3473059,178973.6550904,114010.8487748,136813.0185297,164175.6222357,197010.7466828,1936719.9545568
"Gross Margin","World","Fantasy","Total Channels","Actual",228060.4558519,239463.4786445,251436.6525767,171045.3418889,184728.9692400,199507.2867793,215467.8697216,232705.2992993,148239.2963038,177887.1555645,213464.5866774,256157.5040128,2518163.8965606
"GM %","World","Fantasy","Total Channels","Actual",0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592,0.5652592
"Average Price","World","Fantasy","Total Channels","Actual",1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,1.4551363,17.4616354
"Volume Litres","North America","Fantasy","Total Channels","Actual",87911.2691689,92306.8326273,96922.1742587,65933.4518766,71208.1280268,76904.7782690,83057.1605305,89701.7333729,57142.3249598,68570.7899517,82284.9479421,98741.9375305,970685.5285147
"Price per Litre","North America","Fantasy","Total Channels","Actual",4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,4.2308877,50.7706525
"Sales Revenue","North America","Fantasy","Total Channels","Actual",126132.9690297,132439.6174812,139061.5983553,94599.7267723,102167.7049140,110341.1213072,119168.4110118,128701.8838927,81986.4298693,98383.7158431,118060.4590118,141672.5508142,1392716.1883025
"Standard Cost per Litre","North America","Fantasy","Total Channels","Actual",2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,2.5395758,30.4749092
"Manufacturing Cost","North America","Fantasy","Total Channels","Actual",74670.9656004,78404.5138805,82324.7395745,56003.2242003,60483.4821364,65322.1607073,70547.9335639,76191.7682490,48536.1276403,58243.3531683,69892.0238021,83870.4285624,824490.7210855
"Gross Margin","North America","Fantasy","Total Channels","Actual",51462.0034292,54035.1036007,56736.8587807,38596.5025719,41684.2227777,45018.9605999,48620.4774479,52510.1156437,33450.3022290,40140.3626748,48168.4352098,57802.1222517,568225.4672171
"GM %","North America","Fantasy","Total Channels","Actual",0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980
"Average Price","North America","Fantasy","Total Channels","Actual",1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,1.4347759,17.2173106
"Volume Litres","USA","Fantasy","Total Channels","Actual",31967.7342432,33566.1209554,35244.4270032,23975.8006824,25893.8647370,27965.3739160,30202.6038293,32618.8121356,20779.0272581,24934.8327097,29921.7992517,35906.1591020,352976.5558235
"Price per Litre","USA","Fantasy","Total Channels","Actual",1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,20.3739833
"Sales Revenue","USA","Fantasy","Total Channels","Actual",54275.8402476,56989.6322600,59839.1138730,40706.8801857,43963.4306005,47480.5050486,51278.9454525,55381.2610887,35279.2961609,42335.1553931,50802.1864717,60962.6237661,599294.8705483
"Standard Cost per Litre","USA","Fantasy","Total Channels","Actual",0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,0.9095528,10.9146339
"Manufacturing Cost","USA","Fantasy","Total Channels","Actual",29076.3429898,30530.1601393,32056.6681462,21807.2572423,23551.8378217,25435.9848475,27470.8636353,29668.5327261,18899.6229434,22679.5475320,27215.4570384,32658.5484461,321050.8235080
"Gross Margin","USA","Fantasy","Total Channels","Actual",25199.4972578,26459.4721207,27782.4457267,18899.6229434,20411.5927788,22044.5202011,23808.0818172,25712.7283626,16379.6732176,19655.6078611,23586.7294333,28304.0753200,278244.0470403
"GM %","USA","Fantasy","Total Channels","Actual",0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857
"Average Price","USA","Fantasy","Total Channels","Actual",1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,20.3739833
"Volume Litres","Canada","Fantasy","Total Channels","Actual",55943.5349256,58740.7116719,61677.7472556,41957.6511942,45314.2632898,48939.4043530,52854.5567012,57082.9212373,36363.2977017,43635.9572420,52363.1486904,62835.7784285,617708.9726912
"Price per Litre","Canada","Fantasy","Total Channels","Actual",2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,2.8268902,33.9226828
"Sales Revenue","Canada","Fantasy","Total Channels","Actual",80192.5557208,84202.1835069,88412.2926823,60144.4167906,64955.9701339,70152.4477446,75764.6435642,81825.8150493,52125.1612185,62550.1934622,75060.2321547,90072.2785856,885458.1906137
"Standard Cost per Litre","Canada","Fantasy","Total Channels","Actual",1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,1.8191056,21.8292672
"Manufacturing Cost","Canada","Fantasy","Total Channels","Actual",50883.5988335,53427.7787752,56099.1677140,38162.6991251,41215.7150551,44512.9722596,48074.0100404,51919.9308436,33074.3392418,39689.2070901,47627.0485082,57152.4582098,561838.9256964
"Gross Margin","Canada","Fantasy","Total Channels","Actual",29308.9568873,30774.4047317,32313.1249683,21981.7176655,23740.2550787,25639.4754850,27690.6335238,29905.8842057,19050.8219768,22860.9863721,27433.1836465,32919.8203758,323619.2649173
"GM %","Canada","Fantasy","Total Channels","Actual",0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823,0.3654823
"Average Price","Canada","Fantasy","Total Channels","Actual",1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,1.4334553,17.2014634
"Volume Litres","Asia Pacific","Fantasy","Total Channels","Actual",137598.7832264,144478.7223877,151702.6585070,103199.0874197,111455.0144134,120371.4155664,130001.1288117,140401.2191167,89439.2090972,107327.0509165,128792.4610999,154550.9533198,1519317.7038824
"Price per Litre","Asia Pacific","Fantasy","Total Channels","Actual",5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,5.0809073,60.9708880
"Sales Revenue","Asia Pacific","Fantasy","Total Channels","Actual",175197.3533591,183957.2210271,193155.0820784,131398.0150193,141909.8562209,153262.6447186,165523.6562960,178765.5487997,113878.2796834,136653.9356201,163984.7227441,196781.6672929,1934467.9828596
"Standard Cost per Litre","Asia Pacific","Fantasy","Total Channels","Actual",1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,1.0244842,12.2938103
"Manufacturing Cost","Asia Pacific","Fantasy","Total Channels","Actual",63467.8517075,66641.2442928,69973.3065075,47600.8887806,51408.9598830,55521.6766737,59963.4108076,64760.4836722,41254.1036098,49504.9243318,59405.9091982,71287.0910378,700789.8505024
"Gross Margin","Asia Pacific","Fantasy","Total Channels","Actual",111729.5016516,117315.9767343,123181.7755709,83797.1262387,90500.8963378,97740.9680449,105560.2454884,114005.0651275,72624.1760736,87149.0112883,104578.8135460,125494.5762551,1233678.1323572
"GM %","Asia Pacific","Fantasy","Total Channels","Actual",0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351,0.6377351
